Team,Season,HR,G,SOG,TOI
NYI,2013,Total,135,1882,227110
BUF,2013,Home,40,789,109484
BUF,2013,Road,55,827,116563
BUF,2013,Total,95,1616,226047
T.B,2013,Home,72,996,119035
T.B,2013,Road,83,985,120064
T.B,2013,Total,155,1981,239099
N.J,2013,Home,54,863,118231
N.J,2013,Road,66,818,110210
N.J,2013,Total,120,1681,228441
CHI,2013,Home,102,1234,146428
CHI,2013,Road,120,1341,144829
CHI,2013,Total,222,2575,291257
CGY,2013,Home,59,832,114663
CGY,2013,Road,65,822,113815
CGY,2013,Total,124,1654,228478
MTL,2013,Home,81,1032,134841
MTL,2013,Road,81,1044,134753
MTL,2013,Total,162,2076,269594
STL,2013,Home,64,913,116527
STL,2013,Road,99,996,123161
STL,2013,Total,163,1909,239688
MIN,2013,Home,73,989,133679
MIN,2013,Road,85,978,131948
MIN,2013,Total,158,1967,265627
PIT,2013,Home,81,974,130679
PIT,2013,Road,93,1143,130016
PIT,2013,Total,174,2117,260695
EDM,2013,Home,65,800,114431
EDM,2013,Road,63,830,111694
EDM,2013,Total,128,1630,226125
OTT,2013,Home,69,929,104578
OTT,2013,Road,83,1100,113483
OTT,2013,Total,152,2029,218061
PHI,2013,Home,64,914,124314
PHI,2013,Road,82,987,113190
PHI,2013,Total,146,1901,237504
L.A,2013,Home,95,1265,149100
L.A,2013,Road,87,1307,147255
L.A,2013,Total,182,2572,296355
S.J,2013,Home,77,1113,125842
S.J,2013,Road,96,1133,118913
S.J,2013,Total,173,2246,244755
DET,2013,Home,80,934,115904
DET,2013,Road,71,982,118915
DET,2013,Total,151,1916,234819
PHX,2013,Home,61,872,108465
PHX,2013,Road,72,979,114132
PHX,2013,Total,133,1851,222597
NYR,2013,Home,90,1231,147856
NYR,2013,Road,91,1375,147095
NYR,2013,Total,181,2606,294951
CAR,2013,Home,66,951,112000
CAR,2013,Road,65,978,114637
CAR,2013,Total,131,1929,226637
COL,2013,Home,78,900,126718
COL,2013,Road,98,1073,125586
COL,2013,Total,176,1973,252304
TOR,2013,Home,65,836,110912
TOR,2013,Road,79,849,113930
TOR,2013,Total,144,1685,224842
FLA,2013,Home,75,879,107777
FLA,2013,Road,64,991,113718
FLA,2013,Total,139,1870,221495
BOS,2013,Home,87,1095,129009
BOS,2013,Road,102,1214,137204
BOS,2013,Total,189,2309,266213
WPG,2013,Home,73,912,114631
WPG,2013,Road,78,980,110467
WPG,2013,Total,151,1892,225098
CBJ,2014,Home,73,865,114047
CBJ,2014,Road,71,953,116994
CBJ,2014,Total,144,1818,231041
DAL,2014,Home,81,987,117069
DAL,2014,Road,93,1000,113525
DAL,2014,Total,174,1987,230594
VAN,2014,Home,82,1019,122669
VAN,2014,Road,77,1056,126640
VAN,2014,Total,159,2075,249309
NSH,2014,Home,85,1080,126746
NSH,2014,Road,96,1169,128667
NSH,2014,Total,181,2249,255413
ANA,2014,Home,96,1102,138234
ANA,2014,Road,100,1249,145126
ANA,2014,Total,196,2351,283360
WSH,2014,Home,83,1108,137621
WSH,2014,Road,90,1104,138167
WSH,2014,Total,173,2212,275788
NYI,2014,Home,88,1081,131261
NYI,2014,Road,96,1259,127360
NYI,2014,Total,184,2340,258621
BUF,2014,Home,54,745,119935
BUF,2014,Road,56,791,117155
BUF,2014,Total,110,1536,237090
T.B,2014,Home,104,1207,152409
T.B,2014,Road,117,1326,150718
T.B,2014,Total,221,2533,303127
N.J,2014,Home,58,817,117095
N.J,2014,Road,58,788,118316
N.J,2014,Total,116,1605,235411
CHI,2014,Home,91,1267,157114
CHI,2014,Road,108,1539,155949
CHI,2014,Total,199,2806,313063
CGY,2014,Home,75,986,137376
CGY,2014,Road,93,935,131238
CGY,2014,Total,168,1921,268614
MTL,2014,Home,77,1061,134278
MTL,2014,Road,88,1092,136355
MTL,2014,Total,165,2153,270633
STL,2014,Home,81,1074,127029
STL,2014,Road,90,1020,126252
STL,2014,Total,171,2094,253281
MIN,2014,Home,84,1070,134316
MIN,2014,Road,93,1100,129554
MIN,2014,Total,177,2170,263870
PIT,2014,Home,73,1053,123658
PIT,2014,Road,79,1010,120161
PIT,2014,Total,152,2063,243819
EDM,2014,Home,67,969,121731
EDM,2014,Road,64,874,121149
EDM,2014,Total,131,1843,242880
OTT,2014,Home,68,954,123826
OTT,2014,Road,91,1079,124447
OTT,2014,Total,159,2033,248273
PHI,2014,Home,62,858,116737
PHI,2014,Road,71,949,117958
PHI,2014,Total,133,1807,234695
ARI,2014,Home,57,906,118077
ARI,2014,Road,49,952,117168
ARI,2014,Total,106,1858,235245
L.A,2014,Home,79,1054,120384
L.A,2014,Road,75,983,116202
L.A,2014,Total,154,2037,236586
S.J,2014,Home,71,986,117341
S.J,2014,Road,68,978,119167
S.J,2014,Total,139,1964,236508
DET,2014,Home,69,958,124156
DET,2014,Road,69,951,121904
DET,2014,Total,138,1909,246060
NYR,2014,Home,110,1199,143279
NYR,2014,Road,99,1276,151820
NYR,2014,Total,209,2475,295099
CAR,2014,Home,65,981,118482
CAR,2014,Road,61,1045,119953
CAR,2014,Total,126,2026,238435
COL,2014,Home,60,837,118827
COL,2014,Road,93,917,114327
COL,2014,Total,153,1754,233154
TOR,2014,Home,55,904,115324
TOR,2014,Road,81,905,114436
TOR,2014,Total,136,1809,229760
FLA,2014,Home,67,989,116632
FLA,2014,Road,78,999,117407
FLA,2014,Total,145,1988,234039
BOS,2014,Home,72,909,117251
BOS,2014,Road,68,1068,122038
BOS,2014,Total,140,1977,239289
WPG,2014,Home,59,901,116940
WPG,2014,Road,93,1029,119691
WPG,2014,Total,152,1930,236631
CBJ,2015,Home,69,888,116276
CBJ,2015,Road,79,986,117413
CBJ,2015,Total,148,1874,233689
DAL,2015,Home,92,1129,135382
DAL,2015,Road,100,1227,137459
DAL,2015,Total,192,2356,272841
VAN,2015,Home,67,928,117285
VAN,2015,Road,56,874,117875
VAN,2015,Total,123,1802,235160
NSH,2015,Home,67,1090,139447
NSH,2015,Road,97,1164,135796
NSH,2015,Total,164,2254,275243
ANA,2015,Home,62,978,123580
ANA,2015,Road,77,1081,126749
ANA,2015,Total,139,2059,250329
WSH,2015,Home,85,1104,134580
WSH,2015,Road,94,1155,133311
WSH,2015,Total,179,2259,267891
NYI,2015,Home,77,1049,139826
